Servide Code,Service Name en,Service Name ar,Net Price,start date for Net Price
56,ICDS FOLLOW UP (DOUBLE),متابعة بجهاز صدمات داخلي (ثنائي),1547,4/17/24
57,ICDS FOLLOW UP (TRIPLE),متابعة بجهاز صدمات داخلي (ثلاثي),1816.5,4/17/24
58,PACEMAKER FOLLOW UP (SINGLE),متابعة بمنظم ضربات القلب (أحادي),1099,4/17/24
59,PACEMAKER FOLLOW UP (DOUBLE),متابعة بمنظم ضربات القلب (ثنائي),1235.5,4/17/24
60,PACEMAKER FOLLOW UP (TRIPLE),متابعة بمنظم ضربات القلب (ثلاثي),1452.5,4/17/24
61,PACEMAKER TRANSCUTANEOUS,تركيب منظم ضربات القلب (عن طريق الجلد),4539.5,4/17/24
62,PACEMAKER TRANSVENOUS,تركيب منظم ضربات القلب (عن طريق الوريد),4620,4/17/24
63,ECHO BY External PICU CONSULTANT (INCLUDE CONSULTANT FEES ),موجات فوق صوتية على القلب بواسطة استشاري أطفال خارجي  (شامل  أتعاب الطبيب),2989,4/17/24
64,ECHO IN NICU (PORTABLE),موجات فوق صوتية على القلب لطفل حديث الولادة داخل المحضن (محمول),1578.5,4/17/24
65,NEONATAL ECHOCARDIOGRAPHY,موجات فوق صوتية على القلب لحديثي الولادة,1235.5,4/17/24
66,ECHOHEAMODYNAMICS ,مخطط صدى القلب,1452.5,4/17/24
67,E.C.G 24 HOUR IP OR ICU ,رسم قلب عادي 24 ساعه داخلي,1288,4/17/24
68,INTRA VASCULAR ULTRASONOGRAPHY-NOT INCLUDED CONSUMABLES,موجات صوتية داخل الأوعية الدموية  (غير متضمنة المستلزمات الطبية),13391,4/17/24
69,AORTIC BALLOON USAGE\ DAY,رسم استخدام البالونة الأورطية \ اليوم,2425.5,4/17/24
70,TRANSOESOPHAGEAL ECHOCARDIOGRAPHY - CATHLAB AND OPEN HEART,موجات فوق صوتية علي القلب عن طريق المرئ - قسطرة و قلب,13391,4/17/24
71,DOBUTAMINE ECHOCARDIOGRAPHY,موجات فوق صوتية على القلب باستخدام الدوبياتامين,2432.5,4/17/24
72,GLUCOCHECK BLOOD GLUCOSE MEASUREMENT,تحليل سكر بالجهاز,91,4/17/24
73,INSERTION OF INSULIN PUMP (NOT INCLUDE INSULIN PUMP PRICE ),تركيب مضخة انسولين ,679,4/17/24
74,INSULIN PUMP DEVICE FOLLOW-UP AND RE-PROGRAMMING,متابعة وإعادة برمجة مضخة انسولين,553,4/17/24
75,FIBROSCAN,فايبروسكان,1617,4/17/24
76,PRP INJ. FOR DIABETIC FOOT 1ST SESSION,حقن بلازما للقدم السكرى للجلسة الأولى,1949.5,4/17/24
77,PRP INJ. FOR DIABETIC FOOT OVER 1ST SESSION,حقن بلازما للقدم السكرى ما بعد الأولى,1298.5,4/17/24
78,Sonar inside clinic without report,سونار في عيادة الباطنه من غير تقرير,245,4/17/24
79,CHEMOTHERAPY / DOSE,علاج كيماوى / جرعة,1949.5,4/17/24
80,ONCOLOGY NURSING FEES,رعاية تمريضية لمرضى الأورام,378,4/17/24
81,SCLEROTHERAPY OF VARICOSE VEINS (ONE TIME),حقن دوالي الساق (مره واحدة),3584,4/17/24
82,SCLEROTHERAPY OF VARICOSE VEINS (REPEATED),حقن دوالي الساق (متكرر),3262,4/17/24
83,LIPOMA PRESS SESSION,كي ورم دهني,945,4/17/24
84,Doppler on legs  inside clinic with consultanant,دوبلر الساقين بواسطه استشاري,2432.5,4/17/24
85,Spider varicose vein  ( include consumables ),حقن دوالى الساق السطحية,1690.5,4/17/24
86,PIERCING OF BOTH EARS,ثقب الأذنين,490,4/17/24
87,VACCINATION (WITHOUT COST OF VACCINE),التطعيمات (بدون ثمن التطعيم),325.5,4/17/24
88,UMBILICAL GRANULOMA   ,إزالة تجمع بالسرة,833,4/17/24
89,INTERCOSTAL TUBE INSERTION ADULT BY CONSULTANT,تركيب أنبوبة صدر بواسطة استشارى,8879.5,4/17/24
90,INTERCOSTAL TUBE INSERTION BIILATERAL (PED),تركيب أنبوب صدري جانبين (أطفال),9831.5,4/17/24
91,INTERCOSTAL TUBE INSERTION UNILATERAL (PED),تركيب أنبوب صدري جانب واحد (أطفال),4525.5,4/17/24
92,NEBULIZER SESSION,جلسة نيبوليزر,248.5,4/17/24
93,NEBULIZER SESSION (ULTRASOUND SET),جلسة نيبوليزر (جلسة موجات صوتية),336,4/17/24
94,PERICARDIOCENTESIS,بذل تجمع سائل حول القلب,7973,4/17/24
95,PLEURAL BIOPSY,عينه من الغشاء البلوري,7147,4/17/24
96,PLEUROCENTESIS,بذل صدر (الغشاء البلوري),6044.5,4/17/24
97,PLEURODESIS,حقن بلوري,1708,4/17/24
98,PULMONARY FUNCTION TESTS (COMPUTERIZED),قياس كفاءه الرئتين (بالكومبيوتر),1298.5,4/17/24
99,BRONCHOSCOPY,منظار الشعب الهوائية,1655.5,4/17/24
100,BRONCHOSCOPY & BIOPSY UNDER GENERAL ANESTHESIA (NOT INCLUDE BIOPSY PRICE ),منظار الشعب الهوائية وأخذ عينه تحت مخدر عام (لا يشمل سعر العينة),3265.5,4/17/24
101,ABSCESS DRAINGE UNDER LOCAL ANAESTHESIA,فتح خراج تحت مخدر موضعى,602,4/17/24
102,ENDOSCOPIC GASTROSTOMY,تركيب أنبوبة تغذية بالمعدة بالمنظار (شامل أتعاب الطبيب فقط ),9982,4/17/24
103,SUNGESTAKIAN TUBE INSERTION,إدخال أنبوبة سانجيستيكيان,1011.5,4/17/24
104,INSERTION OF RECTAL TUBE,تركيب أنبوب شرجي,567,4/17/24
105,EXCISION OF INGROWING TOE NAIL UNDER LOCAL ANASTHESIA,استئصال ظفر غائر تحت تأثير مخدر موضعى,1365,4/17/24
106,NAIL EXTRACTION UNDER LOCAL ANASTHESIA,استئصال ظفر تحت مخدر موضعي,731.5,4/17/24
107,EXCISION OF SMALL LIPOMA UNDER LOCAL ANASTHESIA,استئصال كيس دهنى صغير تحت مخدر موضعى,1095.5,4/17/24
108,FOREIGN BODY EXTRACTION UNDER LOCAL ANASTHESIA,استخراج جسم غريب تحت تاثير مخدر موضعى,875,4/17/24
109,OZONE THERAPY / SESSION,علاج بالأوزون / الجلسة,2082.5,4/17/24
110,STITCH REMOVAL,فك غرز جراحية,283.5,4/17/24
111,SURGICAL STITCHES / FIRST STITCH,غرز جراحية / الغرزة الأولى,196,4/17/24
112,SURGICAL STITCHES / STITCH AFTER FIRST STITCH,غرز جراحية / كل غرزة بعد الغرزة الاولى,126,4/17/24
113,WOUND DEBRIDEMENT,تنظيف جرح,1487.5,4/17/24
114,WOUND VACUUM,غيار على جرح بالفاكيوم,2810.5,4/17/24
115,BCG IMMUNOTHERAPY,علاج مناعي موضعي بالمثانة,987,4/17/24
116,BLADDER EVACUATION BY NYLTON CATHETER,تفريغ المثانة بواسطه قسطرة نيلتون,483,4/17/24
117,CLOT EVACUATION AND IRRIGATION,تقريغ تجلط دموى بالمثانة مع غسيل,1095.5,4/17/24
118,BLADDER SCANNING,فحص المثانة,1547,4/17/24
119,INSERTION OF URINARY CATHETER,تركيب قسطرة بولية,602,4/17/24
120,INSERTION OF URINARY CATHETER FOLLOWING DILATATION,تركيب قسطرة بولية بعد توسيع مجرى البول,987,4/17/24
121,INSERTION OF URINARY CATHETER USING STYLITTER,تركيب قسطرة بولية باستخدام مرشد,1365,4/17/24
122,PROSTATIC MASSAGE,تدليك بروستاتا,731.5,4/17/24
123,REMOVAL OF NEGLECTED FOLEY’S CATHETER BY U/S,رفع قسطرة فولي باستخدام الموجات الصوتية,1190,4/17/24
124,RESIDUAL VOLUME & BLADDER CAPACITY ESTIMATION,تقدير سعه المثانة,602,4/17/24
125,U/S OF URINARY TRACT IN UROLOGY CLINIC ,أشعة فوق صوتية على المسالك البولية فى عيادة المسالك ,430.5,4/17/24
126,URETHRAL DILATATION UNDER LOCAL ANASTHESIA,توسيع مجرى البول باستخدام مخدر موضعي,875,4/17/24
127,URODYNAMIC STUDY,قياس ديناميكية البول,1785,4/17/24
128,UROFLOWMETRY ,مقياس تدفق البول,812,4/17/24
129,VOIDING CYSTOURETHROGRAM (VCUG),إجراء أشعة صاعدة على المثانة والاحليل,987,4/17/24
130,REMOVAL OF URINARY CATHETER,رفع قسطرة بولية,325.5,4/17/24
131,SUPRAPUBIC PUNCTURE UNDER LOCAL ANASTHESIA (CYSTOFIX),فتح فوق العانة تحت تأثير مخدر موضعي (قسطرة سيستوفيكس),2016,4/17/24
132,SUPRAPUBIC URINARY CATHETERIZATION,تركيب قسطرة فوق العانة خلال المثانة,3356.5,4/17/24
133,4D U/S FOR SINGLE BABY,موجات فوق صوتية رباعية الأبعاد لطفل,1029,4/17/24
134,4D U/S FOR TWINS BABIES ,موجات فوق صوتية رباعية الأبعاد لطفلين,1484,4/17/24
135,4D U/S FOR TRIPLES BABIES ,موجات فوق صوتية رباعية الأبعاد لثلاثة أطفال,1886.5,4/17/24
136,CHEMICAL CAUTARIZATION OF THE CERVIX,كى كيميائى لعنق الرحم,717.5,4/17/24
137,ELECTRICAL CAUTERIZATION OF THE CERVIX,كى كهربائي لعنق الرحم,756,4/17/24
138,FETAL DOPPLER,دوبلر على الجنين,304.5,4/17/24
139,FETAL MONITORING BY CARDIOTOCOGRAPHY (CTG),مراقبة معدل نبض الجنين,525,4/17/24
140,HORMONAL LOOP INSERTION(WITHOUT LOOP PRICE ),تركيب لولب هرمونى (بدون ثمن اللولب),892.5,4/17/24
141,LOOP INSERTION (WITHOUT LOOP PRICE ),تركيب لولب (بدون ثمن اللولب),668.5,4/17/24
142,LOOP EXTRACTION,خلع لولب,343,4/17/24
143,IMPLANT INSERTION,زرع وسيلة منع حمل تحت الجلد,1074.5,4/17/24
144,IMPLANT REMOVAL,خلع وسيلة منع حمل تحت الجلد,777,4/17/24
145,PAP SMEAR (PROCEDURE BY PHYSICIAN),أخذ مسحة من عنق الرحم (بواسطة طبيب),588,4/17/24
146,POST COITAL TEST,اختبار ما بعد الجماع,875,4/17/24
147,REMOVAL OF CERVICAL STITCH (LOCALLY),خلع غرزة من عنق الرحم (موضعيًا),717.5,4/17/24
148,TRANSVAGINAL ULTRASOUND,موجات فوق الصوتية عن طريق المهبل,490,4/17/24
149,U/S IN OBE & GYN CLINIC BY PHYSICIAN,سونار فى عياده النساء والتوليد بواسطة الطبيب,378,4/17/24
150,VIDEO COLPOSCOPY,منظارلعنق الرحم فيديو سكوب,1949.5,4/17/24
151,ENDOMETRIAL SAMPLING,اخذ عينة من بطانة الرحم,1060.5,4/17/24
152,PATHOLOGY FOR LARGE SAMPLE,تحليل عينة كبيرة,1298.5,4/17/24
153,PATHOLOGY FOR SMALL SAMPLE,تحليل عينة صغيرة,976.5,4/17/24
154,OFFICE HYSTEROSCOPE,منظار رحمي بالعيادة الخارجية,4032,4/17/24
155,CERVICAL DILATATION,توسيع عنق الرحم,717.5,4/17/24
156,CERVICAL POLYPECTOMY,استئصال لحمية من عنق الرحم,602,4/17/24
157,vaginal swab,اخذ عينة من المهبل,399,4/17/24
158,BOTOX FOR HYPERHYDROSIS,حقن بوتكس لزيادة التعرق,5274.5,4/17/24
159,BOTOX FOR FACE,حقن بوتكس لتجاعيد الوجة,2376.5,4/17/24
160,BOTOX INJECTION / SESSION,حقن بوتوكس / الجلسة,4196.5,4/17/24
161,BOTOX PALMS AND SOLES,حقن بوتكس بالكفين وبطن القدم,6772.5,4/17/24
162,CAVITATION / SESSION,كافيتيشن / جلسة,882,4/17/24
163,TCA PEELING,تقشير بمادة TCA,528.5,4/17/24
164,CHEMICAL PEELING (TCA),تقشير كيماوى بمادة TCA,563.5,4/17/24
165,CHEMICAL PEELING FOR ONE SESSION,تقشير كيماوى للجلسة الواحده,871.5,4/17/24
166,DERMAROLLER SESSION,جلسة ديرما روللر,1022,4/17/24
167,DIAMOND STRONG / SYRINGE,القناع الماسي لتقشير البشرة / الحقنة,1400,4/17/24
168,PRP (3 SESSIONS) ,علاج البشرة بالبلازما /3 جلسات,3157,4/17/24
169,COLD PEELING/SESSION ,جلسة تقشير بالتبريد ,714,4/17/24
170,MESOTHERAPY FOR WHITENING FACE,حقن ميزوثيرابي لتفتيح الوجه ,871.5,4/17/24
171,GROWTH FACTORS FOR HAIR FALL , حقن عوامل النمو لعلاج تساقط الشعر,1921.5,4/17/24
172,CAVI GOLD,حقن الكافيار الذهبي بالوجه,1620.5,4/17/24
173,FILLER (VOLUME) / AMPOULE,فيلر VOLUME أمبولة,4280.5,4/17/24
174,FILLER SYRINGE FOR FACE OR HAND,حقن فيلر للوجة او اليدين,3052,4/17/24
175,FILLER SYRINGE FOR LIPS ,حقن فيلر للشفاة ,2555,4/17/24
176,FILLER SYRINGE VOLUME VOLFIT,حقن فيلر عالية الجودة,3734.5,4/17/24
177,FILLER ULTRA 3 / SYRINGE,فيلر ULTRA 3 حقنة,2163,4/17/24
178,FILLER ULTRA 4 / SYRINGE,فيلر ULTRA 4 حقنة,2341.5,4/17/24
179,FRACTIONAL CO2 LASER (SMALL),ليزر تجميل البشرة (منطقة صغيرة) ,469,4/17/24
180,FRACTIONAL CO2 LASER (MEDIUM),ليزر تجميل للبشرة (منطقة متوسطة),637,4/17/24
181,FRACTIONAL CO2 LASER (LARGE),ليزر تجميل للبشرة (منطقة كبيرة),777,4/17/24
182,FRACTIONAL CO2 LASER (X-LARGE),ليزر تجميل للبشرة (منطقة كبيرة جدا),1526,4/17/24
183,GOLD STAMP,الديرما جولد ستامب ,1746.5,4/17/24
184,LASER HAIR REMOVAL OVER 300 PULSES,سعر النبضه الواحدة لاكثر من 300 نبضة ,3.5,4/17/24
185,laser hair removal per pulse,سعر النبضه الواحدة,3.5,4/17/24
186,I LIPO / SESSION,اختزال غير جراحي للدهون I LIPO / الجلسة,896,4/17/24
187,LAVATRON / SESSION,اختزال غير جراحي للدهون LAVATRON / الجلسة,812,4/17/24
188,LOCAL CORTISONE INJECTION / SET (SMALL),حقن كورتيزون موضعى / للجلسة منطقة صغيره,336,4/17/24
189,LOCAL CORTISONE INJECTION / SET (MEDIUM),حقن كورتيزون موضعى / للجلسة منطقة متوسطه,434,4/17/24
190,LOCAL CORTISONE INJECTION / SET (LARGE ),حقن كورتيزون موضعى / للجلسة منطقة كبيره,577.5,4/17/24
191,LOCAL SKIN BIOPSY UNDER LOCAL ANESTHESIA,عينه من الجلد تحت مخدر موضعى,1022,4/17/24
192,MELANIN CONTROL,التحكم في صبغة الميلانين,1183,4/17/24
193,MELANIN MASK FOR SKIN PEELING,القناع الاسباني لتقشير البشرة,1785,4/17/24
194,MESOTHERAPY WITH KAPRON,ميزوثيرابي باستخدام ماده الكبرون ,374.5,4/17/24
195,MESOTHERAPY FOR SKIN WHITENING ,ميزوثيرابي لتفتيح البشره  ,791,4/17/24
196,MESOTHERAPY FOR ACNE SCARS  (TCA PEELING),ميزوثيرابي لازالة اثار حب الشباب,563.5,4/17/24
197,MESOTHERAPY FOR EYE DARK HALOS,ميزوثيرابي لعلاج الهالات السوداء,563.5,4/17/24
198,"MESOTHERAPY FOR FACE,  HAIR AND STRETCH MARKS",ميزوثيرابي للوجه و الشعر وعلامات التمدد,738.5,4/17/24
199,MESOTHERAPY FOR HAIR (DERMAHEAL STEM CELL),ميزوثيرابي للشعر (خلاية جذعية ديرماهيل),871.5,4/17/24
200,MESOTHERAPY FOR HAIR (HAIR TD),ميزوثيرابي للشعر (هير تيد),528.5,4/17/24
201,MESOTHERAPY OF HAIR / SET,ميزوثيرابي فى فروة الرأس / الجلسة,868,4/17/24
202,MESOTHERAPY OF FAT (MESOLIPOLYSIS),ميزوثيرابي تكسير دهون,920.5,4/17/24
203,MESOTHERAPY FOR SKIN REGENERATION / SESSION,ميزوثيرابي لنضارة البشرة / الجلسة,738.5,4/17/24
204,MESOLIPOLYSIS FOR DOUBLE CHIN,ميزوثيرابي للذقن المزدوجه ,1095.5,4/17/24
205,PEELING OF ARMPITS,تقشير الابطين,1050,4/17/24
206,PEELING OF BACK,تقشير الظهر,2555,4/17/24
207,PEELING OF BIKINI,تقشير البيكيني,1050,4/17/24
208,PEELING OF ELBOWS,تقشير الكوعين,588,4/17/24
209,PEELING OF FACE,تقشير الوجه,920.5,4/17/24
210,PEELING OF FACE AND NECK,تقشير الوجة و الرقبة,1200.5,4/17/24
211,PEELING OF KNEES,تقشير الركب,588,4/17/24
212,PLASMA INJECTION FOR HAIR AND FACE,حقن بلازما في الشعر و الوجه ,2359,4/17/24
213,PRP - ONE SESSION WITH CENTRIFUGATION,علاج البشرة بالبلازما - جلسة واحدة بجهاز الطرد المركزي,1690.5,4/17/24
214,REMOVAL OF FACIAL CELLULAR CYSTS,ازله التكيسات الخلويه بالوجه,395.5,4/17/24
215,SKIN APPENDAGES REMOVAL – FIRST APPENDAGE,ازله الزوائد الجلديه – أول زائده ,465.5,4/17/24
216,SKIN APPENDAGES REMOVAL / SET –OVER ONE APPENDAGE,ازله الزوائد الجلديه – بعد أول زائده,182,4/17/24
217,SPA RADIO FREQUENCY / 1 SESSION,جلسة تردد حراري,1183,4/17/24
218,UVR / IRR SESSION,جلسة اشعه فوق بنفسجية,269.5,4/17/24
219,PLANTER WART EXCISION - FIRST WART ELECTRIC ,ازاله سنطه كى كهربائى من بطن القدم - السنطه الاولى,833,4/17/24
220,PLANTER WART EXCISION - FIRST WART CRYO,ازاله سنطه كى بالتبريد من بطن القدم - السنطه الاولى,647.5,4/17/24
221,PLANTER WART EXCISION - OVER 1 WART ELECTRIC ,ازاله سنطه  كى كهربائى من بطن القدم - مازاد عن السنطه الاولى,395.5,4/17/24
222,PLANTER WART EXCISION - OVER 1 WART CRYO,ازاله سنطه  كى بالتبريد من بطن القدم - مازاد عن السنطه الاولى,325.5,4/17/24
223,WART EXCISION - FIRST WART ELECTRIC ,إزالة سنطة كى كهربائى  - السنطه الاولى,479.5,4/17/24
224,WART EXCISION - FIRST WART CRYO,إزالة سنطة كى بالتبريد  - السنطه الاولى,423.5,4/17/24
225,WART EXCISION - OVER 1 WART ELECTRIC ,ازاله سنطه كى كهربائى - مازاد عن السنطه الاولى,395.5,4/17/24
226,WART EXCISION - OVER 1 WART CRYO,ازاله سنطه كى بالتبريد  - مازاد عن السنطه الاولى,269.5,4/17/24
227,DERMA PEN 1ST SESSION,جلسة تجميل باستخدام الديرما بن,1204,4/17/24
228,PRP WITH DERMAPEN,حقن بلازما باستخدام الديرما بن,1242.5,4/17/24
229,COMEDON EXTRACTOR ( SMALL ),إزالة رؤوس سوداء  منطقة (صغيرة),353.5,4/17/24
230,COMEDON EXTRACTOR (MEDIUM ),إزالة رؤوس سوداء منطقة (متوسط),479.5,4/17/24
231,COMEDON EXTRACTOR (LARGE ),إزالة رؤوس سوداء منطقة (كبيرة),577.5,4/17/24
232,LOCAL 5- FLUROUROURACIL INJECTION ( SMALL ),حقن مادة فلوريوراسيل منطقة (صغيرة),290.5,4/17/24
233,LOCAL 5- FLUROUROURACIL INJECTION (MEDIUM),حقن مادة فلوريوراسيل منطقة (متوسط),434,4/17/24
234,LOCAL 5- FLUROUROURACIL INJECTION( LARGE ),حقن مادة فلوريوراسيل منطقة  (كبيرة),577.5,4/17/24
235,HAIR TRANSPLANTATION 2000-3000 GRAFTS,زراعة الشعر بالاقتطاف من 2000-3000 قطفة,29921.5,4/17/24
236,HAIR TRANSPLANTATION 500-2000 GRAFTS,زراعة الشعر بالاقتطاف من 2000-500 قطفة,21507.5,4/17/24
237,HAIR TRANSPLANTATION LESS THAN 500 GRAFTS,زراعة الشعر بالاقتطاف اقل من 500 قطفة,10290,4/17/24
238,ABOVE ELBOW CAST,جبس فوق الكوع,822.5,4/17/24
239,ABOVE ELBOW CAST PED,جبس فوق الكوع أطفال,798,4/17/24
240,ABOVE ELBOW POSTERIOR SLAB,سلاب خلفي فوق الكوع,539,4/17/24
241,ABOVE KNEE CAST,جبس فوق الركبة,1022,4/17/24
242,ABOVE KNEE CAST PED,جبس فوق الركبة أطفال,861,4/17/24
243,ABOVE KNEE POSTERIOR SLAB,سلاب خلفى فوق الركبة,539,4/17/24
244,ADHESIVE TAPE FOR FRACTURE RIB,مشمع لاصق لكسر الضلوع,490,4/17/24
245,BELOW ELBOW CAST,جبس تحت الكوع,633.5,4/17/24
246,BELOW ELBOW CAST PED,جبس تحت الكوع أطفال,602,4/17/24
247,BELOW KNEE CAST,جبس تحت الركبة,1235.5,4/17/24
248,BELOW KNEE CAST PED,جبس تحت الركبة أطفال,833,4/17/24
249,BELOW KNEE SLAB,سلاب تحت الركبة,745.5,4/17/24
250,BODY BANDAGE,رباط حول الجسم,752.5,4/17/24
251,BODY BANDAGE PED,رباط حول الجسم أطفال,577.5,4/17/24
252,BONE DENSITY MEASUREMENT (DEXA),قياس كثافة العظام,826,4/17/24
253,CPM MACHINE,جهاز تحريك و تمرين مفصل الركبة,1547,4/17/24
254,CREPE BANDAGE,رباط كريب,147,4/17/24
255,CYLINDER CAST,أسطوانة جبس كبار,1452.5,4/17/24
256,CYLINDER CAST PED,أسطوانه جبس للأطفال,875,4/17/24
257,ELASTOPLAST BANDAGE,رباط ايلاستوبلاست,283.5,4/17/24
258,FIGURE OF 8 BANDAGE,رباط ثمانى,490,4/17/24
259,FINGER BANDAGE NORMAL,رباط أصابع عادى,283.5,4/17/24
260,FINGER SLAB,سلاب جبس لأصبع اليد,490,4/17/24
261,FINGER SPLINT,سنادة أصابع,343,4/17/24
262,FOOT SLAB OR ELBOW POST SLAB,سلاب قدم أو سلاب كوع خلفى,602,4/17/24
263,FOOT SLAB OR ELBOW POST SLAB PED,سلاب قدم أو سلاب كوع خلفى أطفال,490,4/17/24
264,HALF HIP SPIKA ADULT,نصف بنطلون جبس كبار,1235.5,4/17/24
265,HALF HIP SPIKA PED,نصف بنطلون جبس أطفال,1144.5,4/17/24
266,INTRA-ARTICULAR INJECTION,حقن موضعى عظام مفاصل,976.5,4/17/24
267,HIP REDUCTION,رد خلع بمفصل الحوض,2541,4/17/24
268,JONES BANDAGE,رباط جونز,490,4/17/24
269,KNEE ASPIRATION,بذل للركبة,955.5,4/17/24
270,MODERATE ORTHOPEDIC DRESSING,غيار جرح متوسط عظام,283.5,4/17/24
271,LARGE ORTHOPEDIC DRESSING,غيار جرح كبير عظام,490,4/17/24
272,LOCAL HEEL INJECTION,حقن موضعى للكعب,518,4/17/24
273,REDUCTION OF PULLED ELBOW,رد الكوع,934.5,4/17/24
274,REDUCTION OF DISLOCATED JOINT,رد خلع بالمفصل,490,4/17/24
275,REDUCTION OF SIMPLE FRACTURE,رد كسر بسيط,490,4/17/24
276,REMOVAL OF CAST,إزالة جبس,539,4/17/24
277,REMOVAL OF CLIP STITCHES,رفع غرز كلبسات,490,4/17/24
278,REMOVAL OF HIP SPIKA,فك بنطلون جبس,777,4/17/24
279,REMOVAL OF K WIRE,رفع سلك معدنى,490,4/17/24
280,REMOVAL OF ORTHOPEDIC STITCHES,إزاله غرز جراحة عظام,490,4/17/24
